original sector,to_id,new sector
Activities auxiliary to financial intermediation (67),20,Services
Activities of membership organisation n.e.c. (91),21,Others
Air transport (62),19,Transports
Aluminium production,12,Manufacture basic metal
Animal products nec,1,Agriculture
"Biogasification of food waste, incl. land application",6,Energy and Utilities
"Biogasification of paper, incl. land application",6,Energy and Utilities
"Biogasification of sewage slugde, incl. land application",6,Energy and Utilities
Casting of metals,12,Manufacture basic metal
Cattle farming,1,Agriculture
Chemicals nec,16,Manufacture chemical process
"Collection, purification and distribution of water (41)",6,Energy and Utilities
"Composting of food waste, incl. land application",6,Energy and Utilities
"Composting of paper and wood, incl. land application",6,Energy and Utilities
Computer and related activities (72),20,Services
Construction (45),4,Construction
Copper production,12,Manufacture basic metal
Cultivation of cereal grains nec,1,Agriculture
Cultivation of crops nec,1,Agriculture
Cultivation of oil seeds,1,Agriculture
Cultivation of paddy rice,1,Agriculture
Cultivation of plant-based fibers,1,Agriculture
"Cultivation of sugar cane, sugar beet",1,Agriculture
"Cultivation of vegetables, fruit, nuts",1,Agriculture
Cultivation of wheat,1,Agriculture
Distribution and trade of electricity,6,Energy and Utilities
Education (80),20,Services
Extra-territorial organizations and bodies,21,Others
"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",7,Mining
"Extraction of natural gas and services related to natural gas extraction, excluding surveying",7,Mining
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",7,Mining
"Financial intermediation, except insurance and pension funding (65)",20,Services
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",2,Fishing
"Forestry, logging and related service activities (02)",1,Agriculture
Health and social work (85),20,Services
Hotels and restaurants (55),20,Services
Incineration of waste: Food,6,Energy and Utilities
Incineration of waste: Metals and Inert materials,6,Energy and Utilities
Incineration of waste: Oil/Hazardous waste,6,Energy and Utilities
Incineration of waste: Paper,6,Energy and Utilities
Incineration of waste: Plastic,6,Energy and Utilities
Incineration of waste: Textiles,6,Energy and Utilities
Incineration of waste: Wood,6,Energy and Utilities
Inland water transport,19,Transports
"Insurance and pension funding, except compulsory social security (66)",20,Services
Landfill of waste: Food,6,Energy and Utilities
Landfill of waste: Inert/metal/hazardous,6,Energy and Utilities
Landfill of waste: Paper,6,Energy and Utilities
Landfill of waste: Plastic,6,Energy and Utilities
Landfill of waste: Textiles,6,Energy and Utilities
Landfill of waste: Wood,6,Energy and Utilities
"Lead, zinc and tin production",12,Manufacture basic metal
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,14,Manufacture iron steel
Manufacture of beverages,9,Manufacture food
"Manufacture of bricks, tiles and construction products, in baked clay",17,Manufacture other
"Manufacture of cement, lime and plaster",17,Manufacture other
Manufacture of ceramic goods,17,Manufacture other
Manufacture of coke oven products,17,Manufacture other
Manufacture of electrical machinery and apparatus n.e.c. (31),17,Manufacture other
"Manufacture of fabricated metal products, except machinery and equipment (28)",17,Manufacture other
Manufacture of fish products,9,Manufacture food
Manufacture of furniture; manufacturing n.e.c. (36),17,Manufacture other
Manufacture of gas; distribution of gaseous fuels through mains,17,Manufacture other
Manufacture of glass and glass products,17,Manufacture other
Manufacture of machinery and equipment n.e.c. (29),17,Manufacture other
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",17,Manufacture other
"Manufacture of motor vehicles, trailers and semi-trailers (34)",17,Manufacture other
Manufacture of office machinery and computers (30),17,Manufacture other
Manufacture of other non-metallic mineral products n.e.c.,13,Manufacture non metallic
Manufacture of other transport equipment (35),17,Manufacture other
"Manufacture of radio, television and communication equipment and apparatus (32)",17,Manufacture other
Manufacture of rubber and plastic products (25),11,Manufacture rubber plastic
Manufacture of textiles (17),17,Manufacture other
Manufacture of tobacco products (16),9,Manufacture food
Manufacture of wearing apparel; dressing and dyeing of fur (18),17,Manufacture other
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",8,Manufacture wood
"Manure treatment (biogas), storage and land application",1,Agriculture
"Manure treatment (conventional), storage and land application",1,Agriculture
Meat animals nec,1,Agriculture
Mining of aluminium ores and concentrates,7,Mining
"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",7,Mining
Mining of coal and lignite; extraction of peat (10),7,Mining
Mining of copper ores and concentrates,7,Mining
Mining of iron ores,7,Mining
"Mining of lead, zinc and tin ores and concentrates",7,Mining
Mining of nickel ores and concentrates,7,Mining
Mining of other non-ferrous metal ores and concentrates,7,Mining
Mining of precious metal ores and concentrates,7,Mining
Mining of uranium and thorium ores (12),7,Mining
N-fertiliser,16,Manufacture chemical process
Other business activities (74),20,Services
Other land transport,19,Transports
Other non-ferrous metal production,15,Manufacture non ferrous
Other service activities (93),21,Others
P- and other fertiliser,16,Manufacture chemical process
Paper,10,Manufacture paper
Petroleum Refinery,5,Oil refining
Pigs farming,1,Agriculture
"Plastics, basic",11,Manufacture rubber plastic
Post and telecommunications (64),20,Services
Poultry farming,1,Agriculture
Precious metals production,15,Manufacture non ferrous
Private households with employed persons (95),21,Others
Processed rice,9,Manufacture food
Processing of dairy products,9,Manufacture food
Processing of Food products nec,9,Manufacture food
Processing of meat cattle,9,Manufacture food
Processing of meat pigs,9,Manufacture food
Processing of meat poultry,9,Manufacture food
Processing of nuclear fuel,17,Manufacture other
Processing vegetable oils and fats,9,Manufacture food
Production of electricity by biomass and waste,6,Energy and Utilities
Production of electricity by coal,6,Energy and Utilities
Production of electricity by gas,6,Energy and Utilities
Production of electricity by Geothermal,6,Energy and Utilities
Production of electricity by hydro,6,Energy and Utilities
Production of electricity by nuclear,6,Energy and Utilities
Production of electricity by petroleum and other oil derivatives,6,Energy and Utilities
Production of electricity by solar photovoltaic,6,Energy and Utilities
Production of electricity by solar thermal,6,Energy and Utilities
"Production of electricity by tide, wave, ocean",6,Energy and Utilities
Production of electricity by wind,6,Energy and Utilities
Production of electricity nec,6,Energy and Utilities
Production of meat products nec,9,Manufacture food
Public administration and defence; compulsory social security (75),20,Services
"Publishing, printing and reproduction of recorded media (22)",20,Services
Pulp,10,Manufacture paper
Quarrying of sand and clay,7,Mining
Quarrying of stone,7,Mining
Raw milk,1,Agriculture
Re-processing of ash into clinker,17,Manufacture other
Re-processing of secondary aluminium into new aluminium,17,Manufacture other
Re-processing of secondary construction material into aggregates,17,Manufacture other
Re-processing of secondary copper into new copper,17,Manufacture other
Re-processing of secondary glass into new glass,17,Manufacture other
"Re-processing of secondary lead into new lead, zinc and tin",17,Manufacture other
Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,17,Manufacture other
Re-processing of secondary paper into new pulp,10,Manufacture paper
Re-processing of secondary plastic into new plastic,17,Manufacture other
Re-processing of secondary preciuos metals into new preciuos metals,17,Manufacture other
Re-processing of secondary steel into new steel,17,Manufacture other
Re-processing of secondary wood material into new wood material,8,Manufacture wood
Real estate activities (70),20,Services
"Recreational, cultural and sporting activities (92)",21,Others
Recycling of bottles by direct reuse,6,Energy and Utilities
Recycling of waste and scrap,6,Energy and Utilities
Renting of machinery and equipment without operator and of personal and household goods (71),20,Services
Research and development (73),20,Services
Retail sale of automotive fuel,18,Sales
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",18,Sales
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",18,Sales
Sea and coastal water transport,19,Transports
Steam and hot water supply,6,Energy and Utilities
Sugar refining,9,Manufacture food
Supporting and auxiliary transport activities; activities of travel agencies (63),20,Services
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",17,Manufacture other
Transmission of electricity,6,Energy and Utilities
Transport via pipelines,19,Transports
Transport via railways,19,Transports
"Waste water treatment, food",6,Energy and Utilities
"Waste water treatment, other",6,Energy and Utilities
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",18,Sales
"Wool, silk-worm cocoons",1,Agriculture
